"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","32,060","32,030","32,450","31,945","4.07M","-0.26%"
"12/27/2024","32,145","32,180","32,320","31,875","3.78M","-0.28%"
"12/26/2024","32,235","32,540","32,540","32,210","2.79M","-0.59%"
"12/24/2024","32,425","32,545","32,580","32,290","2.89M","0.08%"
"12/23/2024","32,400","32,140","32,510","32,025","3.86M","1.68%"
"12/20/2024","31,865","32,195","32,195","31,625","6.88M","-1.44%"
"12/19/2024","32,330","32,255","32,495","32,175","4.14M","-2.27%"
"12/18/2024","33,080","32,700","33,180","32,700","2.29M","1.41%"
"12/17/2024","32,620","32,955","32,975","32,570","3.10M","-1.15%"
"12/16/2024","33,000","33,345","33,440","32,935","3.65M","-0.36%"
"12/13/2024","33,120","32,890","33,255","32,810","4.45M","0.45%"
"12/12/2024","32,970","32,710","33,070","32,590","6.22M","1.43%"
"12/11/2024","32,505","32,025","32,525","32,010","4.47M","1.04%"
"12/10/2024","32,170","31,840","32,245","31,825","5.32M","2.03%"
"12/09/2024","31,530","31,880","32,015","31,500","9.38M","-2.49%"
"12/06/2024","32,335","32,585","32,730","31,840","10.93M","-0.51%"
"12/05/2024","32,500","32,755","32,800","32,375","5.21M","-0.70%"
"12/04/2024","32,730","32,595","32,970","32,475","8.27M","-1.36%"
"12/03/2024","33,180","32,865","33,260","32,865","4.37M","1.47%"
"12/02/2024","32,700","32,960","33,010","32,575","5.43M","0.18%"
"11/29/2024","32,640","33,150","33,150","32,415","7.11M","-1.89%"
"11/28/2024","33,270","33,275","33,425","33,200","3.11M","-0.30%"
"11/27/2024","33,370","33,525","33,660","33,280","3.70M","-0.77%"
"11/26/2024","33,630","33,520","33,660","33,465","3.78M","-0.31%"
"11/25/2024","33,735","33,645","33,870","33,520","5.43M","1.17%"
"11/22/2024","33,345","33,205","33,500","33,145","4.01M","0.89%"
"11/21/2024","33,050","32,835","33,230","32,820","5.80M","0.12%"
"11/20/2024","33,010","32,890","33,085","32,810","3.33M","0.20%"
"11/19/2024","32,945","32,775","33,020","32,770","4.33M","0.35%"
"11/18/2024","32,830","32,440","33,095","32,420","5.05M","2.32%"
"11/15/2024","32,085","31,870","32,280","31,680","7.47M","0.72%"
"11/14/2024","31,855","32,035","32,250","31,810","7.87M","-0.42%"
